,School_Name,Address,School_Type,Accessible
269,LAKE VIEW HS,4015 N ASHLAND AVE,HS,Not Accessible
270,LANE TECH HS,2501 W ADDISON ST,HS,Usable
271,LANGFORD,6010 S THROOP ST,ES,Not Accessible
272,LARA,4619 S WOLCOTT AVE,ES,Usable
273,LASALLE,1734 N ORLEANS ST,ES,Usable
274,LASALLE II,1148 N HONORE ST,ES,First Floor Usable
275,LAVIZZO,138 W 109TH ST,ES,Usable
276,LAWNDALE,3500 W DOUGLAS BLVD,ES,Not Accessible
277,LEE,6448 S TRIPP AVE,ES,Usable
278,LELAND,512 S LAVERGNE AVE,ES,First Floor Usable
279,LENART,8101 S LASALLE ST,ES,Usable
280,LEWIS,1431 N LEAMINGTON AVE,ES,Usable
281,LIBBY,5300 S LOOMIS BLVD,ES,Not Accessible
282,LINCOLN,615 W KEMPER PL,ES,Usable
283,LINCOLN PARK HS,2001 N ORCHARD ST,HS,Usable
284,LINDBLOM HS,6130 S WOLCOTT AVE,HS,Usable
285,LITTLE VILLAGE,2620 S LAWNDALE AVE,ES,First Floor Usable
286,LLOYD,2103 N LAMON AVE,ES,Not Accessible
287,LOCKE J,2828 N OAK PARK AVE,ES,First Floor Usable
288,LOGANDALE,3212 W GEORGE ST,ES,First Floor Usable
289,LORCA,3231 N SPRINGFIELD AVE,ES,Usable
290,LOVETT,6333 W BLOOMINGDALE AVE,ES,Not Accessible
291,LOWELL,3320 W HIRSCH ST,ES,First Floor Usable
292,LOZANO,1501 N GREENVIEW AVE,ES,Usable
293,LYON,2941 N MCVICKER AVE,ES,Not Accessible
294,MADERO,3202 W 28TH ST,ES,Usable
295,MADISON,7433 S DORCHESTER AVE,ES,Not Accessible
296,MANIERRE,1420 N HUDSON AVE,ES,Usable
297,MANLEY HS,2935 W POLK ST,HS,Usable
298,MANN,8050 S CHAPPEL AVE,ES,Not Accessible
299,MARINE LEADERSHIP AT AMES HS,1920 N HAMLIN AVE,HS,Usable
300,MARQUETTE,6550 S RICHMOND ST,ES,Usable
301,MARSH,9822 S EXCHANGE AVE,ES,Usable
302,MARSHALL HS,3250 W ADAMS ST,HS,Not Accessible
303,MASON,1830 S KEELER AVE,ES,Usable
304,MATHER HS,5835 N LINCOLN AVE,HS,Usable
305,MAYER,2250 N CLIFTON AVE,ES,Usable
306,MAYS,6656 S NORMAL BLVD,ES,Not Accessible
307,MCAULIFFE,1841 N SPRINGFIELD AVE,ES,Usable
308,MCCLELLAN,3527 S WALLACE ST,ES,Not Accessible
309,MCCORMICK,2712 S SAWYER AVE,ES,Not Accessible
310,MCCUTCHEON,4865 N SHERIDAN RD,ES,First Floor Usable
311,MCDADE,8801 S INDIANA AVE,ES,Usable
312,MCDOWELL,1419 E 89TH ST,ES,Not Accessible
313,MCKAY,6901 S FAIRFIELD AVE,ES,Usable
314,MCNAIR,4820 W WALTON ST,ES,Usable
315,MCPHERSON,4728 N WOLCOTT AVE,ES,Usable
316,MELODY,3937 W WILCOX ST,ES,First Floor Usable
317,METCALFE,12339 S NORMAL AVE,ES,First Floor Usable
318,MIRELES,9000 S EXCHANGE AVE,ES,Usable
319,MITCHELL,2233 W OHIO ST,ES,Not Accessible
320,MOLLISON,4415 S DR MARTIN L KING JR DR,ES,Usable
321,MONROE,3651 W SCHUBERT AVE,ES,First Floor Usable
322,MONTESSORI ENGLEWOOD,6936 S HERMITAGE AVE,ES,Usable
323,MOOS,1711 N CALIFORNIA AVE,ES,Usable
324,MORGAN PARK HS,1744 W PRYOR AVE,HS,Usable
325,MORRILL,6011 S ROCKWELL ST,ES,Usable
326,MORTON,431 N TROY ST,ES,First Floor Usable
327,MOUNT GREENWOOD,10841 S HOMAN AVE,ES,Usable
328,MOUNT VERNON,10540 S MORGAN ST,ES,Usable
329,MOZART,2200 N HAMLIN AVE,ES,Not Accessible
330,MURPHY,3539 W GRACE ST,ES,Usable
331,MURRAY,5335 S KENWOOD AVE,ES,Usable
332,NASH,4837 W ERIE ST,ES,Usable
333,NATIONAL TEACHERS,55 W CERMAK RD,ES,Usable
334,NEIL,8555 S MICHIGAN AVE,ES,Usable
335,NETTELHORST,3252 N BROADWAY,ES,Not Accessible
336,NEW FIELD,1707 W MORSE AVE,ES,Usable
337,NEW SULLIVAN,8331 S MACKINAW AVE,ES,Usable
338,NEWBERRY,700 W WILLOW ST,ES,Usable
339,NICHOLSON,6006 S PEORIA ST,ES,Usable
340,NIGHTINGALE,5250 S ROCKWELL ST,ES,Usable
341,NINOS HEROES,8344 S COMMERCIAL AVE,ES,Not Accessible
342,NIXON,2121 N KEELER AVE,ES,Not Accessible
343,NOBEL,4127 W HIRSCH ST,ES,Not Accessible
344,NOBLE - BULLS HS,2040 W ADAMS ST,HS,Usable
345,NOBLE - JOHNSON HS,6350 S STEWART AVE,HS,Not Accessible
346,NOBLE - UIC HS,1231 S DAMEN AVE,HS,Usable
347,NORTH LAWNDALE - CHRISTIANA HS,1616 S SPAULDING AVE,HS,Usable
348,NORTH RIVER,4416 N TROY ST,ES,Not Accessible
349,NORTH-GRAND HS,4338 W WABANSIA AVE,HS,Usable
350,NORTHSIDE LEARNING HS,3730 W BRYN MAWR AVE,HS,Usable
351,NORTHSIDE PREP HS,5501 N KEDZIE AVE,HS,Usable
352,NORWOOD PARK,5900 N NINA AVE,ES,Usable
353,OGDEN ES,24 W WALTON ST,ES,Usable
354,OGDEN HS,1250 W ERIE ST,HS,Usable
355,OGLESBY,7646 S GREEN ST,ES,Not Accessible
356,OKEEFFE,6940 S MERRILL AVE,ES,Usable
357,ONAHAN,6634 W RAVEN ST,ES,Not Accessible
358,ORIOLE PARK,5424 N OKETO AVE,ES,Usable
359,OROZCO,1940 W 18TH ST,ES,Usable
360,ORR HS,730 N PULASKI RD,HS,Usable
361,ORTIZ DE DOMINGUEZ,3000 S LAWNDALE AVE,ES,Usable
362,OTIS,525 N ARMOUR ST,ES,Usable
363,OTOOLE,6550 S SEELEY AVE,ES,First Floor Usable
364,OWEN,8247 S CHRISTIANA AVE,ES,Usable
365,OWENS,12302 S STATE ST,ES,Not Accessible
366,PALMER,5051 N KENNETH AVE,ES,Not Accessible
367,PARK MANOR,7037 S RHODES AVE,ES,Not Accessible
368,PARKER,6800 S STEWART AVE,ES,Usable
369,PARKSIDE,6938 S EAST END AVE,ES,Not Accessible
370,PASTEUR,5825 S KOSTNER AVE,ES,Usable
371,PAYTON HS,1034 N WELLS ST,HS,Usable
372,PEACE AND EDUCATION HS,4946 S PAULINA ST,HS,Not Accessible
373,PECK,3826 W 58TH ST,ES,Usable
374,PEIRCE,1423 W BRYN MAWR AVE,ES,Usable
375,PENN,1616 S AVERS AVE,ES,Usable
376,PEREZ,1241 W 19TH ST,ES,Not Accessible
377,PERSHING,3200 S CALUMET AVE,ES,Usable
378,PERSPECTIVES - LEADERSHIP HS,8131 S MAY ST FL 3,HS,Usable
379,PERSPECTIVES - MATH & SCI HS,3663 S WABASH AVE,HS,Usable
380,PETERSON,5510 N CHRISTIANA AVE,ES,Usable
381,PHILLIPS HS,244 E PERSHING RD,HS,Usable
382,PHOENIX MILITARY HS,145 S CAMPBELL AVE,HS,Usable
383,PICCOLO,1040 N KEELER AVE,ES,Not Accessible
384,PICKARD,2301 W 21ST PL,ES,Not Accessible
385,PILSEN,1420 W 17TH ST,ES,Not Accessible
386,PIRIE,650 E 85TH ST,ES,Not Accessible
387,PLAMONDON,2642 W 15TH PL,ES,Not Accessible
388,POE,10538 S LANGLEY AVE,ES,Usable
389,POLARIS,620 N SAWYER AVE,ES,Usable
390,PORTAGE PARK,5330 W BERTEAU AVE,ES,First Floor Usable
391,POWELL,7511 S SOUTH SHORE DR,ES,Usable
392,PRESCOTT,1632 W WRIGHTWOOD AVE,ES,Not Accessible
393,PRIETO,2231 N CENTRAL AVE,ES,Usable
394,PRITZKER,2009 W SCHILLER ST,ES,Not Accessible
395,PROSSER HS,2148 N LONG AVE,HS,Usable
396,PROVIDENCE ENGLEWOOD,6515 S ASHLAND AVE,ES,Usable
397,PRUSSING,4650 N MENARD AVE,ES,Not Accessible
398,PULASKI,2230 W MCLEAN AVE,ES,Usable
399,PULLMAN,11311 S FORRESTVILLE AVE,ES,Not Accessible
400,RABY HS,3545 W FULTON BLVD,HS,Usable
401,RANDOLPH,7316 S HOYNE AVE,ES,Usable
402,RAVENSWOOD,4332 N PAULINA ST,ES,Not Accessible
403,RAY,5631 S KIMBARK AVE,ES,Usable
404,REAVIS,834 E 50TH ST,ES,Not Accessible
405,REILLY,3650 W SCHOOL ST,ES,Not Accessible
406,REINBERG,3425 N MAJOR AVE,ES,Not Accessible
407,REVERE,1010 E 72ND ST,ES,Not Accessible
408,RICHARDS HS,5009 S LAFLIN ST,HS,Usable
