,School_ID,Short_Name,School_Type,Primary_Category
72,"400,126",YCCS - ASSOCIATION HOUSE,Charter,HS
73,"610,504",THOMAS,Neighborhood,ES
74,"609,708",FOREMAN HS,Neighborhood,HS
75,"609,798",BELDING,Neighborhood,ES
76,"400,081",ACERO - DE LAS CASAS,Charter,ES
77,"400,104",INSTITUTO - HEALTH,Charter,HS
78,"609,994",HIBBARD,Neighborhood,ES
79,"610,047",MADISON,Neighborhood,ES
80,"610,099",NORWOOD PARK,Neighborhood,ES
81,"400,106",NOBLE - JOHNSON HS,Charter,HS
82,"610,590",BRONZEVILLE CLASSICAL,Classical,ES
83,"609,759",CLEMENTE HS,Neighborhood,HS
84,"609,818",BURBANK,Neighborhood,ES
85,"610,068",HANSON PARK,Neighborhood,ES
86,"609,800",BENNETT,Neighborhood,ES
87,"610,034",LAWNDALE,Neighborhood,ES
88,"610,202",TILTON,Neighborhood,ES
89,"609,837",CARNEGIE,Regional gifted center,ES
90,"609,680",PAYTON HS,Selective enrollment,HS
91,"609,839",CARROLL,Neighborhood,ES
92,"400,123",YCCS - SCHOLASTIC ACHIEVEMENT,Charter,HS
93,"400,051",NOBLE - NOBLE HS,Charter,HS
94,"609,849",CASSELL,Neighborhood,ES
95,"610,024",CARDENAS,Neighborhood,ES
96,"609,735",TILDEN HS,Neighborhood,HS
97,"400,055",NOBLE - RAUNER HS,Charter,HS
98,"400,032",CICS - ELLISON HS,Charter,HS
99,"610,000",HOWE,Neighborhood,ES
100,"400,137",LITTLE BLACK PEARL HS,Charter,HS
101,"610,313",DE DIEGO,Neighborhood,ES
102,"609,866",COONLEY,Regional gifted center,ES
103,"610,087",BLAIR,Special Education,ES
104,"400,134",YCCS - ADDAMS,Charter,HS
105,"609,922",BELMONT-CRAGIN,Small,ES
106,"610,177",SKINNER,Classical,ES
107,"400,036",CHICAGO VIRTUAL,Charter,HS
108,"610,532",HERNANDEZ,Neighborhood,MS
109,"400,085",ACERO - GARCIA HS,Charter,HS
110,"609,790",BARTON,Neighborhood,ES
111,"609,951",ARIEL,Small,ES
112,"609,750",SIMPSON HS,Citywide-Option,HS
113,"400,114",ACERO - SANTIAGO,Charter,ES
114,"610,174",SHIELDS,Neighborhood,ES
115,"609,985",HEFFERAN,Neighborhood,ES
116,"610,122",PEIRCE,Neighborhood,ES
117,"609,856",CLAY,Neighborhood,ES
118,"610,394",UPLIFT HS,Small,HS
119,"610,225",WHISTLER,Neighborhood,ES
120,"610,054",MARSH,Neighborhood,ES
121,"609,876",DAVIS N,Neighborhood,ES
122,"400,052",NOBLE - COMER,Charter,HS
123,"400,053",NOBLE - GOLDER HS,Charter,HS
124,"610,589",SOR JUANA,Neighborhood,ES
125,"609,874",DIRKSEN,Neighborhood,ES
126,"610,142",RAY,Neighborhood,ES
127,"610,249",TALMAN,Neighborhood,ES
128,"400,156",NOBLE - BUTLER HS,Charter,HS
129,"400,098",NOBLE - MUCHIN HS,Charter,HS
130,"610,592",ENGLEWOOD STEM HS,Neighborhood,HS
131,"400,173",PATHWAYS - BRIGHTON PARK HS,Citywide-Option,HS
132,"610,208",LAVIZZO,Neighborhood,ES
133,"610,044",LOWELL,Neighborhood,ES
134,"610,568",PATHWAYS - AVONDALE HS,Citywide-Option,HS
135,"610,323",BOWEN HS,Small,HS
136,"610,279",TANNER,Neighborhood,ES
137,"609,833",CALDWELL,Neighborhood,ES
138,"609,739",WASHINGTON HS,Neighborhood,HS
139,"609,859",CLINTON,Neighborhood,ES
140,"610,557",PATHWAYS - ASHBURN HS,Citywide-Option,HS
141,"610,529",OGDEN HS,Neighborhood,HS
142,"610,136",PRESCOTT,Neighborhood,ES
143,"610,027",KIPLING,Neighborhood,ES
144,"610,369",JACKSON M,Neighborhood,ES
145,"610,198",TAYLOR,Neighborhood,ES
146,"609,862",COLES,Neighborhood,ES
147,"610,124",WASHINGTON H ES,Neighborhood,ES
148,"609,854",CHOPIN,Neighborhood,ES
149,"610,558",GOODE HS,Citywide-Option,HS
150,"609,719",LAKE VIEW HS,Neighborhood,HS
151,"609,903",EDWARDS,Neighborhood,ES
152,"609,961",NINOS HEROES,Neighborhood,ES
153,"610,229",PRITZKER,Regional gifted center,ES
154,"609,917",FERNWOOD,Neighborhood,ES
155,"609,895",TURNER-DREW,Magnet,ES
156,"609,896",DRUMMOND,Magnet,ES
157,"610,530",SOUTH SHORE ES,Small,ES
158,"610,193",NEW SULLIVAN,Neighborhood,ES
159,"610,254",DVORAK,Neighborhood,ES
160,"400,024",CICS - BASIL,Charter,ES
161,"610,256",ROBINSON,Neighborhood,ES
162,"609,834",LITTLE VILLAGE,Neighborhood,ES
163,"610,200",THORP J,Neighborhood,ES
164,"610,499",COLLINS HS,Small,HS
165,"610,152",RUGGLES,Neighborhood,ES
166,"610,172",SHERMAN,Neighborhood,ES
167,"609,813",BROWNELL,Neighborhood,ES
168,"609,938",GARY,Neighborhood,ES
169,"610,252",DETT,Neighborhood,ES
